video_name,confidence,prediction,label
32_fake_video_fake_audio,0.9931575655937195,1,1.0
25_real,0.9499121308326721,1,0.0
21_fake_video_fake_audio,0.9829926490783691,1,1.0
41_fake_video_fake_audio,0.9565269351005554,1,1.0
43_real,0.5881187319755554,1,0.0
33_fake_video_fake_audio,0.9939292669296265,1,1.0
30_real,4.383469143220964e-10,0,0.0
42_real,0.9699779152870178,1,0.0
28_real,0.9640024304389954,1,0.0
50_fake_video_fake_audio,0.3958733379840851,0,1.0
29_fake_video_fake_audio,4.999209046729902e-09,0,1.0
23_real,0.9713169932365417,1,0.0
24_fake_video_fake_audio,0.9924923181533813,1,1.0
46_real,0.004333277698606253,0,0.0
39_real,0.9732834696769714,1,0.0
35_real,0.9677720665931702,1,0.0
0_fake_video_fake_audio,0.9865021705627441,1,1.0
4_fake_video_fake_audio,0.6976507902145386,1,1.0
3_real,0.944849967956543,1,0.0
10_fake_video_fake_audio,0.9762932062149048,1,1.0
47_fake_video_fake_audio,0.18833386898040771,0,1.0
34_real,0.9929146766662598,1,0.0
48_fake_video_fake_audio,0.9398399591445923,1,1.0
31_real,0.9953252673149109,1,0.0
27_fake_video_fake_audio,0.06398780643939972,0,1.0
45_fake_video_fake_audio,0.9815280437469482,1,1.0
40_fake_video_fake_audio,0.9754403829574585,1,1.0
1_real,0.9849526882171631,1,0.0
37_fake_video_fake_audio,4.654689522709532e-09,0,1.0
5_fake_video_fake_audio,0.9814658761024475,1,1.0
13_real,0.990092933177948,1,0.0
11_fake_video_fake_audio,0.8976468443870544,1,1.0
38_real,0.9644967317581177,1,0.0
6_real,0.9910892248153687,1,0.0
17_fake_video_fake_audio,0.988639235496521,1,1.0
18_fake_video_fake_audio,0.991969645023346,1,1.0
12_fake_video_fake_audio,2.18675904761767e-05,0,1.0
20_fake_video_fake_audio,0.9495746493339539,1,1.0
14_fake_video_fake_audio,0.9822534918785095,1,1.0
2_fake_video_fake_audio,0.9786228537559509,1,1.0
26_fake_video_fake_audio,0.6662577390670776,1,1.0
44_real,0.7487154603004456,1,0.0
49_fake_video_fake_audio,0.01218414306640625,0,1.0
9_fake_video_fake_audio,0.9886295795440674,1,1.0
7_fake_video_fake_audio,0.9948081374168396,1,1.0
16_fake_video_fake_audio,0.9878955483436584,1,1.0
15_fake_video_fake_audio,0.953880250453949,1,1.0
36_real,0.8915796875953674,1,0.0
22_real,0.9788929224014282,1,0.0
19_fake_video_fake_audio,0.9342259764671326,1,1.0
8_fake_video_fake_audio,0.9853873252868652,1,1.0
