video_name,confidence,prediction,label
24_fake_video_fake_audio,0.2815803587436676,0,1.0
11_fake_video_fake_audio,0.17871293425559998,0,1.0
13_real,0.8494458198547363,1,0.0
6_real,0.528951108455658,1,0.0
42_real,0.6440851092338562,1,0.0
43_real,0.1768937110900879,0,0.0
0_fake_video_fake_audio,0.41530412435531616,0,1.0
21_fake_video_fake_audio,0.5174049735069275,1,1.0
48_fake_video_fake_audio,0.5872876048088074,1,1.0
26_fake_video_fake_audio,0.09644818305969238,0,1.0
13_real,0.8494458198547363,1,0.0
22_real,0.35224220156669617,0,0.0
5_fake_video_fake_audio,0.5615395903587341,1,1.0
30_real,0.08463216572999954,0,0.0
8_fake_video_fake_audio,0.1800295114517212,0,1.0
0_fake_video_fake_audio,0.41530412435531616,0,1.0
20_fake_video_fake_audio,0.42677098512649536,0,1.0
32_fake_video_fake_audio,0.14995177090168,0,1.0
35_real,0.19109731912612915,0,0.0
19_fake_video_fake_audio,0.39365947246551514,0,1.0
38_real,0.5203514099121094,1,0.0
31_real,0.732628345489502,1,0.0
19_fake_video_fake_audio,0.39365947246551514,0,1.0
27_fake_video_fake_audio,0.11030183732509613,0,1.0
23_real,0.2626723349094391,0,0.0
13_real,0.8494458198547363,1,0.0
6_real,0.528951108455658,1,0.0
39_real,0.054968565702438354,0,0.0
36_real,0.4837617576122284,0,0.0
32_fake_video_fake_audio,0.14995177090168,0,1.0
22_real,0.35224220156669617,0,0.0
14_fake_video_fake_audio,0.814098596572876,1,1.0
9_fake_video_fake_audio,0.5956298112869263,1,1.0
12_fake_video_fake_audio,0.13361690938472748,0,1.0
37_fake_video_fake_audio,0.2694928050041199,0,1.0
49_fake_video_fake_audio,0.2656044363975525,0,1.0
33_fake_video_fake_audio,0.29303404688835144,0,1.0
36_real,0.4837617576122284,0,0.0
19_fake_video_fake_audio,0.39365947246551514,0,1.0
18_fake_video_fake_audio,0.16376325488090515,0,1.0
32_fake_video_fake_audio,0.14995177090168,0,1.0
31_real,0.732628345489502,1,0.0
1_real,0.1815415322780609,0,0.0
42_real,0.6440851092338562,1,0.0
11_fake_video_fake_audio,0.17871293425559998,0,1.0
25_real,0.2730676233768463,0,0.0
34_real,0.29069554805755615,0,0.0
23_real,0.2626723349094391,0,0.0
31_real,0.732628345489502,1,0.0
43_real,0.1768937110900879,0,0.0
35_real,0.19109731912612915,0,0.0
31_real,0.732628345489502,1,0.0
47_fake_video_fake_audio,0.5609340667724609,1,1.0
50_fake_video_fake_audio,0.4199185073375702,0,1.0
49_fake_video_fake_audio,0.2656044363975525,0,1.0
39_real,0.054968565702438354,0,0.0
