video_name,confidence,prediction,label
16_fake_video_fake_audio,0.622459352016449,1.0,1.0
15_fake_video_fake_audio,0.622459352016449,1.0,1.0
32_fake_video_fake_audio,0.622459352016449,1.0,1.0
41_fake_video_fake_audio,0.622459352016449,1.0,1.0
17_fake_video_fake_audio,0.622459352016449,1.0,1.0
2_fake_video_fake_audio,0.622459352016449,1.0,1.0
38_real,0.622459352016449,1.0,0.0
50_fake_video_fake_audio,0.622459352016449,1.0,1.0
7_fake_video_fake_audio,0.622459352016449,1.0,1.0
37_fake_video_fake_audio,0.622459352016449,1.0,1.0
39_real,0.622459352016449,1.0,0.0
30_real,0.622459352016449,1.0,0.0
20_fake_video_fake_audio,0.622459352016449,1.0,1.0
8_fake_video_fake_audio,0.622459352016449,1.0,1.0
13_real,0.622459352016449,1.0,0.0
44_real,0.622459352016449,1.0,0.0
31_real,0.622459352016449,1.0,0.0
0_fake_video_fake_audio,0.622459352016449,1.0,1.0
43_real,0.622459352016449,1.0,0.0
22_real,0.622459352016449,1.0,0.0
6_real,0.622459352016449,1.0,0.0
9_fake_video_fake_audio,0.622459352016449,1.0,1.0
42_real,0.622459352016449,1.0,0.0
21_fake_video_fake_audio,0.622459352016449,1.0,1.0
25_real,0.622459352016449,1.0,0.0
40_fake_video_fake_audio,0.622459352016449,1.0,1.0
14_fake_video_fake_audio,0.622459352016449,1.0,1.0
28_real,0.622459352016449,1.0,0.0
12_fake_video_fake_audio,0.622459352016449,1.0,1.0
10_fake_video_fake_audio,0.622459352016449,1.0,1.0
35_real,0.622459352016449,1.0,0.0
49_fake_video_fake_audio,0.622459352016449,1.0,1.0
27_fake_video_fake_audio,0.622459352016449,1.0,1.0
29_fake_video_fake_audio,0.622459352016449,1.0,1.0
47_fake_video_fake_audio,0.622459352016449,1.0,1.0
4_fake_video_fake_audio,0.622459352016449,1.0,1.0
34_real,0.622459352016449,1.0,0.0
46_real,0.622459352016449,1.0,0.0
26_fake_video_fake_audio,0.622459352016449,1.0,1.0
33_fake_video_fake_audio,0.622459352016449,1.0,1.0
23_real,0.622459352016449,1.0,0.0
19_fake_video_fake_audio,0.622459352016449,1.0,1.0
36_real,0.622459352016449,1.0,0.0
11_fake_video_fake_audio,0.622459352016449,1.0,1.0
1_real,0.622459352016449,1.0,0.0
5_fake_video_fake_audio,0.622459352016449,1.0,1.0
3_real,0.622459352016449,1.0,0.0
48_fake_video_fake_audio,0.622459352016449,1.0,1.0
24_fake_video_fake_audio,0.622459352016449,1.0,1.0
45_fake_video_fake_audio,0.622459352016449,1.0,1.0
18_fake_video_fake_audio,0.622459352016449,1.0,1.0
