video_name,confidence,prediction,label
25_real,0.9279364347457886,1,0.0
32_fake_video_fake_audio,0.9675898551940918,1,1.0
34_real,0.9793007373809814,1,0.0
41_fake_video_fake_audio,0.38323134183883667,0,1.0
13_real,0.9838597774505615,1,0.0
37_fake_video_fake_audio,0.040595684200525284,0,1.0
11_fake_video_fake_audio,0.9596043825149536,1,1.0
8_fake_video_fake_audio,0.8289142847061157,1,1.0
3_real,0.9821702837944031,1,0.0
27_fake_video_fake_audio,0.20338024199008942,0,1.0
44_real,0.155889093875885,0,0.0
28_real,0.6804244518280029,1,0.0
49_fake_video_fake_audio,0.655046284198761,1,1.0
5_fake_video_fake_audio,0.9727616310119629,1,1.0
50_fake_video_fake_audio,0.96775221824646,1,1.0
45_fake_video_fake_audio,0.3196673095226288,0,1.0
2_fake_video_fake_audio,0.962195098400116,1,1.0
17_fake_video_fake_audio,0.6264116764068604,1,1.0
24_fake_video_fake_audio,0.9808830618858337,1,1.0
31_real,0.9854356646537781,1,0.0
15_fake_video_fake_audio,0.95726478099823,1,1.0
18_fake_video_fake_audio,0.8737769722938538,1,1.0
23_real,0.93948894739151,1,0.0
20_fake_video_fake_audio,0.7512413859367371,1,1.0
38_real,0.029453417286276817,0,0.0
30_real,0.6060833930969238,1,0.0
26_fake_video_fake_audio,0.9696948528289795,1,1.0
14_fake_video_fake_audio,0.9832842946052551,1,1.0
21_fake_video_fake_audio,0.972586452960968,1,1.0
16_fake_video_fake_audio,0.9850766062736511,1,1.0
43_real,0.8503913879394531,1,0.0
47_fake_video_fake_audio,0.23038795590400696,0,1.0
9_fake_video_fake_audio,0.9091301560401917,1,1.0
0_fake_video_fake_audio,0.9647043943405151,1,1.0
10_fake_video_fake_audio,0.7904218435287476,1,1.0
40_fake_video_fake_audio,0.6395465731620789,1,1.0
6_real,0.9796072840690613,1,0.0
48_fake_video_fake_audio,0.26982590556144714,0,1.0
1_real,0.9671711325645447,1,0.0
35_real,0.986403226852417,1,0.0
29_fake_video_fake_audio,0.9407066702842712,1,1.0
4_fake_video_fake_audio,0.9803804159164429,1,1.0
42_real,0.042894236743450165,0,0.0
39_real,0.9630241990089417,1,0.0
46_real,0.6394274234771729,1,0.0
12_fake_video_fake_audio,0.9050667881965637,1,1.0
33_fake_video_fake_audio,0.9812780022621155,1,1.0
36_real,0.010954692959785461,0,0.0
19_fake_video_fake_audio,0.9716057181358337,1,1.0
7_fake_video_fake_audio,0.9732660055160522,1,1.0
22_real,0.9685136079788208,1,0.0
